PLAYER Alice
PLAYER Bob
PLACEMENT Alice 0 0 H 4
PLACEMENT Alice 5 0 H 3
PLACEMENT Alice 0 2 H 3
PLACEMENT Alice 4 2 H 2
PLACEMENT Alice 7 2 H 2
PLACEMENT Alice 0 4 H 2
PLACEMENT Alice 3 4 H 1
PLACEMENT Alice 5 4 H 1
PLACEMENT Alice 7 4 H 1
PLACEMENT Alice 9 4 H 1
PLACEMENT Bob 0 9 H 4
PLACEMENT Bob 5 9 H 3
PLACEMENT Bob 0 7 H 3
PLACEMENT Bob 4 7 H 2
PLACEMENT Bob 7 7 H 2
PLACEMENT Bob 0 5 H 2
PLACEMENT Bob 3 5 H 1
PLACEMENT Bob 5 5 H 1
PLACEMENT Bob 7 5 H 1
PLACEMENT Bob 9 5 H 1
START Alice Bob
SHOT 0 9
SHOT -1 5
SHOT 1 9
SHOT 10 10
SHOT 2 9
SHOT 3 9
SHOT 5 9
SHOT 5 9
SHOT 6 9
SHOT 7 9
SHOT 0 7
SHOT 1 7
SHOT 2 7
SHOT 4 7
SHOT 5 7
SHOT 7 7
SHOT 8 7
SHOT 0 5
SHOT 1 5
SHOT 3 5
SHOT 5 5
SHOT 7 5
SHOT 9 5
